"Month","DayOfTheMonth","DayOfTheYear","DayOfTheWeek","Hour","Minute","OverallLoad1","OverallLoad2","OverallLoad3","OverallLoad4","OverallLoad5","OverallLoad6","OverallLoad7","OverallLoad8","OverallLoad9","OverallLoad10","OverallLoad11","OverallLoad12","AirLoad1","AirLoad2","AirLoad3","AirLoad4","AirLoad5","AirLoad6","AirLoad7","AirLoad8","AirLoad9","AirLoad10","AirLoad11","AirLoad12","isHollidays","Forecast"
12,6,341,5,7,15,0.11,0.1,0.07,0.1,0.12,0.1,0.11,0.1,0.1,0.11,0.1,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
8,17,230,6,5,0,0.09,0.12,0.11,0.11,0.09,0.07,0.11,0.12,0.1,0.1,0.1,0.12,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,1,0.11
6,2,154,7,11,30,0.11,0.1,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.1,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.09
5,1,122,3,3,15,0.1,0.09,0.12,0.09,0.1,0.09,0.11,0.09,0.1,0.1,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,1,0.1
4,21,112,7,12,0,0.09,0.11,0.1,0.1,0.09,0.12,0.09,0.1,0.09,0.11,0.09,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
6,8,160,6,23,45,0.12,0.09,0.11,0.09,0.12,0.1,0.1,0.09,0.11,0.1,0.1,0.09,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
3,9,69,6,5,15,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.1
1,15,15,3,19,45,0.52,0.48,0.48,0.47,0.46,0.26,0.11,0.12,0.1,0.08,0.11,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
6,15,167,6,17,0,0.18,0.17,0.2,0.15,0.16,0.15,0.13,0.11,0.11,0.12,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.1
10,19,293,6,5,30,0.12,0.11,0.11,0.1,0.11,0.08,0.12,0.1,0.11,0.1,0.11,0.12,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.11
5,23,144,4,0,15,0.11,0.11,0.09,0.11,0.11,0.11,0.09,0.1,0.11,0.11,0.09,0.1,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
3,31,91,7,14,45,0.1,0.11,0.09,0.1,0.09,0.12,0.09,0.11,0.09,0.11,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.09
7,5,187,5,0,45,0.08,0.15,0.07,0.15,0.07,0.16,0.07,0.15,0.07,0.15,0.08,0.14,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0,0.07
5,31,152,5,19,30,0.69,0.67,0.52,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.11,0.1,0.58,0.56,0.41,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
4,15,106,1,4,45,0.1,0.09,0.12,0.09,0.09,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.09
11,30,335,6,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,22,235,4,7,30,0.1,0.07,0.11,0.11,0.1,0.16,0.19,1.09,2.67,2.65,1.2,2.22,0.01,0.01,0.01,0.01,0.01,0,0.01,0.91,2.47,2.44,1.09,1.98,1,2.26
3,12,72,2,14,30,0.31,0.32,0.33,0.22,0.21,0.3,0.28,0.29,0.31,0.33,0.29,0.32,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.32
8,29,242,4,18,15,1.16,0.77,1.51,0.93,0.82,0.13,0.12,0.13,0.1,0.07,0.1,0.12,0.95,0.6,1.29,0.8,0.7,0,0.01,0.01,0.01,0,0.01,0.01,1,0.11
12,3,338,2,10,30,0.14,0.21,0.25,0.25,0.44,0.39,0.43,0.49,0.42,0.4,0.4,0.38,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.26
12,16,351,1,18,30,0.11,0.11,0.12,0.1,0.07,0.11,0.11,0.11,0.13,0.11,0.11,0.11,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
5,26,147,7,2,0,0.1,0.09,0.11,0.1,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.09
1,15,15,3,4,45,0.08,0.11,0.12,0.11,0.12,0.11,0.14,0.11,0.12,0.11,0.08,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.13
12,6,341,5,13,30,0.1,0.1,0.1,0.08,0.1,0.12,0.12,0.11,0.11,0.1,0.11,0.1,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
7,9,191,2,6,0,0.08,0.12,0.09,0.13,0.07,0.13,0.06,0.15,0.07,0.13,0.06,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0,0.19
3,31,91,7,17,15,0.1,0.1,0.09,0.12,0.09,0.1,0.1,0.11,0.06,0.09,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.1
4,17,108,3,16,45,0.43,0.29,0.41,0.43,0.41,0.45,0.43,0.4,0.38,0.38,0.25,0.31,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.36
4,6,97,6,10,45,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.12,0.11,0.11,0.09,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,1,0.11
6,8,160,6,16,15,0.85,1.1,0.82,1.1,0.81,1.03,0.88,1.05,0.81,0.77,1.07,0.76,0.62,0.84,0.59,0.87,0.58,0.8,0.66,0.84,0.62,0.58,0.87,0.58,0,0.56
12,11,346,3,1,0,0.13,0.11,0.11,0.11,0.11,0.1,0.11,0.12,0.11,0.11,0.1,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.11
11,9,314,6,15,15,0.21,0.23,0.18,0.13,0.2,0.58,0.61,0.63,0.62,0.61,0.59,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.44
6,19,171,3,22,15,0.14,0.06,0.14,0.07,0.14,0.06,0.15,0.07,0.15,0.07,0.15,0.07,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.16
1,21,21,2,14,30,0.79,0.6,0.85,0.77,0.82,0.71,0.46,0.44,0.45,0.47,0.46,0.34,0.29,0.19,0.29,0.29,0.29,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0,0.47
11,12,317,2,19,30,0.55,0.52,0.53,0.5,0.51,0.29,0.16,0.25,0.1,0.12,0.11,0.12,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
5,2,123,4,5,30,0.1,0.1,0.09,0.11,0.1,0.1,0.09,0.11,0.09,0.1,0.09,0.11,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.09
5,6,127,1,4,30,0.1,0.09,0.11,0.09,0.1,0.09,0.12,0.09,0.07,0.09,0.12,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.1
7,30,212,2,22,0,0.09,0.11,0.11,0.11,0.09,0.11,0.06,0.12,0.11,0.1,0.11,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.13
4,11,102,4,9,30,0.09,0.1,0.11,0.19,0.25,0.26,0.25,0.27,0.26,0.26,0.27,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.27
5,18,139,6,12,45,0.47,0.43,0.38,0.43,0.46,0.39,0.3,0.2,0.21,0.21,0.21,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.43
7,27,209,6,21,30,0.1,0.07,0.12,0.09,0.11,0.09,0.11,0.11,0.11,0.1,0.11,0.1,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.13
2,22,53,4,5,30,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.11,0.09,0.09,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.1
2,27,58,2,19,15,0.67,0.62,0.62,0.62,0.73,0.74,0.74,0.6,0.51,0.44,0.44,0.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.44
1,12,12,7,6,45,0.07,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.1,0.11,0.07,0.1,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.09
12,9,344,1,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,23,54,5,10,15,0.11,0.12,0.14,0.2,0.19,0.29,0.36,0.32,0.33,0.33,0.33,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.33
8,4,217,7,2,0,0.07,0.12,0.07,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.11,0.11,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0.07
9,12,256,4,7,15,0.1,0.1,0.12,0.11,0.1,0.12,0.46,0.27,2.74,2.74,2.27,1.73,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,2.46,2.5,2,1.47,0,1.84
4,17,108,3,6,45,0.28,0.41,0.64,0.63,0.74,0.96,0.86,0.86,0.51,0.15,0.09,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.15
2,8,39,4,7,45,0.12,0.1,0.07,0.1,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.38,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0,0.65
2,6,37,2,0,45,0.1,0.12,0.12,0.11,0.11,0.11,0.11,0.13,0.11,0.1,0.12,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
6,1,153,6,0,30,0.12,0.1,0.11,0.1,0.12,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.11
11,25,330,1,13,45,0.12,0.11,0.11,0.11,0.1,0.12,0.12,0.08,0.1,0.1,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.11
8,4,217,7,14,30,0.1,0.12,0.11,0.09,0.11,0.1,0.12,0.1,0.1,0.11,0.1,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,1,0.06
2,11,42,7,2,0,0.11,0.1,0.12,0.11,0.1,0.11,0.11,0.12,0.1,0.11,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.12
2,16,47,5,19,30,0.51,0.56,0.41,0.37,0.36,0.37,0.2,0.11,0.11,0.12,0.11,0.11,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
7,27,209,6,12,45,0.81,1.06,1.51,1.12,1.13,1.5,0.9,0.91,1.25,0.98,0.92,0.94,0.57,0.68,1.14,0.72,0.75,1.12,0.68,0.69,1.03,0.75,0.68,0.68,0,0.76
10,10,284,4,16,30,0.29,0.4,0.38,0.35,0.37,0.36,0.39,0.36,0.4,0.42,0.37,0.24,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.34
12,17,352,2,7,0,0.11,0.11,0.12,0.06,0.11,0.1,0.1,0.1,0.13,0.1,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
3,22,82,5,0,45,0.11,0.1,0.1,0.12,0.1,0.11,0.1,0.11,0.11,0.1,0.09,0.1,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
3,11,71,1,23,30,0.11,0.11,0.1,0.1,0.11,0.12,0.1,0.11,0.11,0.12,0.1,0.12,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
4,23,114,2,19,0,0.12,0.11,0.12,0.11,0.1,0.09,0.11,0.1,0.09,0.1,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.09
6,16,168,7,14,15,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.1,0.09,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
7,4,186,4,8,30,0.07,0.13,0.07,0.16,0.09,0.13,0.09,0.2,1.55,0,1.68,0,0,0.02,0,0.01,0.01,0.01,0.01,0.04,1.47,2.71,1.59,3.13,0,0.94
4,12,103,5,23,0,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.12,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
5,10,131,5,19,45,0.13,0.13,0.13,0.12,0.11,0.14,0.12,0.12,0.1,0.12,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.11
6,23,175,7,3,45,0.14,0.07,0.15,0.07,0.14,0.08,0.14,0.07,0.15,0.07,0.15,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0,0.15
3,11,71,1,12,15,0.11,0.12,0.09,0.11,0.11,0.11,0.1,0.11,0.1,0.12,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.1
4,3,94,3,11,30,0.47,0.45,0.49,0.54,0.52,0.51,0.53,0.52,0.5,0.51,0.49,0.55,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.37
7,30,212,2,3,15,0.12,0.11,0.1,0.1,0.11,0.13,0.09,0.11,0.07,0.1,0.13,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.1
2,27,58,2,5,30,0.09,0.12,0.09,0.1,0.09,0.11,0.09,0.1,0.09,0.11,0.09,0.1,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.09
4,21,112,7,22,0,0.1,0.11,0.09,0.1,0.1,0.1,0.1,0.11,0.09,0.11,0.11,0.1,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
4,21,112,7,15,45,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.07
1,28,28,2,14,0,0.57,0.55,0.56,0.56,0.53,0.57,0.54,0.63,0.41,0.61,0.71,0.7,0.29,0.3,0.29,0.29,0.3,0.29,0.3,0.29,0.2,0.29,0.3,0.29,0,0.6
12,6,341,5,11,0,0.07,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.12,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.1
1,28,28,2,22,45,0.13,0.13,0.13,0.09,0.13,0.17,0.13,0.14,0.13,0.14,0.13,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.15
3,28,88,4,1,45,0.1,0.1,0.11,0.1,0.09,0.11,0.11,0.1,0.09,0.1,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.11
3,16,76,6,17,15,0.4,0.42,0.42,0.43,0.44,0.47,0.45,0.3,0.41,0.42,0.45,0.29,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.25
7,26,208,5,9,15,0.53,2.65,1.61,1.62,1.43,1.74,1.59,1.96,1.83,1.59,1.99,1.1,0.32,2.45,1.4,1.37,1.16,1.49,1.13,1.45,1.35,1.08,1.48,0.79,0,1.81
6,5,157,3,13,15,0.26,0.26,0.28,0.27,0.13,0.13,0.15,0.16,0.17,0.19,0.33,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.38
6,23,175,7,2,30,0.07,0.15,0.07,0.14,0.08,0.14,0.07,0.15,0.07,0.14,0.08,0.14,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.07
12,14,349,6,1,30,0.12,0.11,0.14,0.11,0.11,0.07,0.11,0.11,0.13,0.12,0.11,0.11,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
7,13,195,6,12,30,1.1,2.85,1.33,2.48,1.16,2.26,1.07,0.17,0.08,0.18,0.08,0.59,0.84,2.28,1.06,1.93,0.9,1.77,0.95,0.01,0,0.01,0,0.38,0,1.29
7,12,194,5,6,30,0.14,0.06,0.52,0.33,0.7,0.3,0.73,0.37,0.48,0.08,0.13,0.08,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0,0.17
10,8,282,2,23,15,0.11,0.13,0.12,0.11,0.08,0.12,0.11,0.14,0.11,0.12,0.11,0.12,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.13
6,9,161,7,8,30,0.09,0.09,0.1,0.11,0.1,0.09,0.09,0.11,0.1,0.1,0.09,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.1
5,29,150,3,8,45,0.3,0.13,0.15,0.13,0.18,0.24,0.28,0.3,0.52,0.52,0.55,0.76,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0,0
2,6,37,2,2,0,0.11,0.11,0.13,0.11,0.1,0.12,0.11,0.1,0.13,0.11,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.11
11,21,326,4,7,15,0.07,0.11,0.1,0.11,0.1,0.13,0.11,0.11,0.11,0.2,0.19,0.21,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.15
10,11,285,5,6,15,0.11,0.1,0.14,0.43,0.58,0.6,0.68,0.75,0.84,0.59,0.23,0.17,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.2
11,6,311,3,11,0,0.21,0.32,0.3,0.33,0.32,0.5,0.46,0.45,0.44,0.48,0.45,0.31,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.46
6,11,163,2,6,45,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.09,0.12,0.09,0.13,0.13,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.14
5,2,123,4,23,0,0.1,0.11,0.11,0.11,0.11,0.1,0.13,0.1,0.11,0.11,0.12,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.1
3,23,83,6,8,0,0.1,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.09,0.1,0.09,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.09
3,12,72,2,15,45,0.3,0.28,0.29,0.31,0.33,0.29,0.32,0.32,0.33,0.43,0.43,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.46
5,24,145,5,13,45,0.07,0.12,0.11,0.12,0.1,0.1,0.11,0.12,0.16,0.15,0.15,0.14,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.13
10,7,281,1,11,0,0.07,0.1,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.12,0.1,0.07,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.1
7,13,195,6,20,0,0.06,0.13,0.07,0.14,0.06,0.13,0.06,0.15,0.06,0.13,0.06,0.15,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.07
5,14,135,2,15,0,0.26,0.26,0.14,0.14,0.14,0.12,0.12,0.13,0.15,0.12,0.13,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.12
2,16,47,5,17,0,0.49,0.45,0.45,0.41,0.53,0.53,0.53,0.53,0.51,0.5,0.51,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.41
8,11,224,7,14,0,0.06,0.11,0.12,0.11,0.1,0.1,0.11,0.12,0.11,0.06,0.11,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,1,0.12
8,26,239,1,19,0,0.11,0.1,0.12,0.12,0.1,0.11,0.1,0.09,0.11,0.1,0.1,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,1,0.12
7,22,204,1,20,15,0.08,0.11,0.1,0.1,0.1,0.12,0.1,0.1,0.1,0.1,0.12,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.1
12,19,354,4,11,30,0.7,0.62,0.44,0.22,0.39,0.41,0.42,0.43,0.42,0.49,0.44,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.47
8,29,242,4,19,30,0.13,0.12,0.13,0.1,0.07,0.1,0.12,0.11,0.11,0.1,0.11,0.12,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,1,0.08
12,11,346,3,19,45,0.61,0.43,0.59,0.54,0.5,0.45,0.45,0.25,0.13,0.11,0.07,0.11,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.11
8,15,228,4,0,30,0.1,0.11,0.11,0.12,0.1,0.1,0.07,0.11,0.11,0.1,0.1,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,1,0.11
9,16,260,1,0,0,0.07,0.1,0.1,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.1,0.07,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.1
3,29,89,5,15,15,0.35,0.4,0.41,0.4,0.41,0.42,0.41,0.41,0.4,0.4,0.4,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.39
1,10,10,5,19,45,0.38,0.54,0.54,0.53,0.43,0.36,0.11,0.11,0.13,0.11,0.08,0.11,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
10,19,293,6,15,30,1.06,1.14,1.38,0.98,0.98,1.39,0.97,1.07,1.08,0.48,0.34,0.24,0.64,0.72,0.99,0.64,0.66,1.05,0.68,0.75,0.78,0.07,0.01,0,0,0.38
4,24,115,3,13,45,0.33,0.37,0.31,0.3,0.31,0.31,0.33,0.41,0.28,0.39,0.38,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.4
2,13,44,2,6,30,0.12,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.12
3,13,73,3,19,15,0.39,0.39,0.39,0.41,0.44,0.63,0.66,0.64,0.39,0.34,0.33,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.11
5,12,133,7,3,0,0.09,0.09,0.11,0.1,0.1,0.09,0.1,0.07,0.1,0.09,0.1,0.1,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.1
5,7,128,2,8,0,0.09,0.1,0.1,0.1,0.09,0.13,0.12,0.13,0.13,0.16,0.1,0.18,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.17
7,2,184,2,22,45,0.06,0.15,0.07,0.13,0.07,0.14,0.08,0.14,0.06,0.14,0.08,0.15,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.06
9,12,256,4,17,15,1.15,1.65,1.75,1.59,1.09,1.36,0.81,1.32,1.01,0.39,0.19,0.13,0.67,1.17,1.26,1.17,0.87,1.15,0.66,1.12,0.8,0.18,0.01,0.01,0,0.11
8,12,225,1,0,0,0.11,0.11,0.06,0.14,0.1,0.11,0.11,0.1,0.13,0.1,0.11,0.06,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,1,0.11
10,19,293,6,20,30,0.11,0.11,0.07,0.11,0.13,0.11,0.11,0.1,0.11,0.12,0.1,0.1,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.11
1,12,12,7,8,0,0.1,0.1,0.09,0.1,0.11,0.07,0.1,0.09,0.1,0.09,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.09
9,11,255,3,10,0,0.12,0.11,0.09,0.11,0.1,0.12,0.1,0.1,0.1,0.12,0.1,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,1,0.1
4,3,94,3,19,0,0.88,0.73,0.74,0.72,0.65,0.46,0.46,0.48,0.22,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
2,8,39,4,4,0,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.11,0.12,0.09,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.11
6,19,171,3,16,0,0.33,0.32,0.38,0.26,0.54,0.28,0.5,0.19,0.4,0.2,0.36,0.17,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0,0,0.36
